id,title,genres,production_companies
557,Spider-Man,"['Fantasy', 'Action']","['Columbia Pictures', 'Marvel Enterprises']"
76341,Mad Max: Fury Road,"['Action', 'Adventure', 'Science Fiction', 'Thriller']","['Village Roadshow Pictures', 'Kennedy Miller Productions', 'Warner Bros.']"
122,The Lord of the Rings: The Return of the King,"['Adventure', 'Fantasy', 'Action']","['WingNut Films', 'New Line Cinema']"
10195,Thor,"['Adventure', 'Fantasy', 'Action']",['Marvel Studios']
341174,Fifty Shades Darker,"['Drama', 'Romance']","['Universal Pictures', 'Perfect World Pictures (Beijing)']"
27205,Inception,"['Action', 'Thriller', 'Science Fiction', 'Mystery', 'Adventure']","['Legendary Pictures', 'Warner Bros.', 'Syncopy']"
381288,Split,"['Horror', 'Thriller']","['Universal Pictures', 'Blumhouse Productions', 'Blinding Edge Pictures']"
246655,X-Men: Apocalypse,['Science Fiction'],"['Twentieth Century Fox Film Corporation', ""Donners' Company"", 'Marvel Entertainment', 'Bad Hat Harry Productions', 'TSG Entertainment', 'Kinberg Genre']"
272,Batman Begins,"['Action', 'Crime', 'Drama']","['DC Comics', 'Legendary Pictures', 'Warner Bros.', 'DC Entertainment', 'Syncopy', 'Patalex III Productions Limited']"
673,Harry Potter and the Prisoner of Azkaban,"['Adventure', 'Fantasy', 'Family']","['1492 Pictures', 'Heyday films', 'Warner Bros.']"
207703,Kingsman: The Secret Service,"['Crime', 'Comedy', 'Action', 'Adventure']","['Twentieth Century Fox Film Corporation', 'Marv Films', 'TSG Entertainment', 'Cloudy Productions']"
417830,Diary of a Wimpy Kid: The Long Haul,"['Comedy', 'Family']",['Twentieth Century Fox']
1865,Pirates of the Caribbean: On Stranger Tides,"['Adventure', 'Action', 'Fantasy']","['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Moving Picture Company (MPC)']"
262500,Insurgent,"['Adventure', 'Science Fiction', 'Thriller']","['Summit Entertainment', 'Mandeville Films', 'Red Wagon Entertainment', 'NeoReel']"
238636,The Purge: Anarchy,"['Horror', 'Thriller']","['Universal Pictures', 'Why Not Productions', 'Platinum Dunes', 'Blumhouse Productions', '5150 Action']"
559,Spider-Man 3,"['Fantasy', 'Action', 'Adventure']","['Columbia Pictures', 'Laura Ziskin Productions', 'Marvel Enterprises']"
121856,Assassin's Creed,"['Action', 'Adventure', 'Science Fiction']","['Regency Enterprises', 'The Kennedy/Marshall Company', 'Ubisoft', 'CatchPlay', 'New Regency Pictures', 'Latina Pictures', 'RatPac Entertainment', 'Monarchy Enterprises S.a.r.l.', 'Ubisoft Motion Pictures', 'DMC Film', 'Alpha Pictures']"
225886,Sex Tape,['Comedy'],"['Escape Artists', 'Media Rights Capital', 'Sony Pictures Entertainment (SPE)', 'LStar Capital']"
168259,Furious 7,['Action'],"['Universal Pictures', 'Original Film', 'Fuji Television Network', 'Dentsu', 'One Race Films', 'China Film Co.', 'Québec Production Services Tax Credit', 'Media Rights Capital (MRC)', 'Abu Dhabi Film Commission', 'Colorado Office of Film, Television & Media']"
145135,Dark Skies,"['Science Fiction', 'Thriller', 'Horror']","['Alliance Films', 'Blumhouse Productions', 'Automatik Entertainment', 'Cinema Vehicle Services']"
