id,title,genres,production_companies
106,Predator,"['Science Fiction', 'Action', 'Adventure', 'Thriller']","['Twentieth Century Fox Film Corporation', 'Lawrence Gordon Productions', 'Davis Entertainment', 'Silver Pictures', 'Amercent Films', 'American Entertainment Partners L.P.']"
91314,Transformers: Age of Extinction,"['Science Fiction', 'Action', 'Adventure']","['Paramount Pictures', 'Amblin Entertainment', 'Di Bonaventura Pictures', 'Platinum Dunes', 'China Movie Channel', 'Hasbro Studios', 'Ian Bryce Productions', 'Revolution Sun Studios']"
138832,We're the Millers,"['Comedy', 'Crime']","['New Line Cinema', 'BenderSpink', 'Heyday Films', 'Newman/Tooley Films', 'Vincent Newman Entertainment', 'Slap Happy Productions (II)']"
11544,Lilo & Stitch,"['Animation', 'Family']","['Walt Disney Pictures', 'Walt Disney Feature Animation']"
9543,Prince of Persia: The Sands of Time,"['Adventure', 'Fantasy', 'Action', 'Romance']","['Walt Disney Pictures', 'Jerry Bruckheimer Films']"
807,Se7en,"['Crime', 'Mystery', 'Thriller']","['New Line Cinema', 'Juno Pix', 'Cecchi Gori Pictures']"
10538,Passenger 57,"['Action', 'Adventure', 'Thriller']",['Warner Bros.']
745,The Sixth Sense,"['Mystery', 'Thriller', 'Drama']","['Spyglass Entertainment', 'The Kennedy/Marshall Company', 'Hollywood Pictures', 'Barry Mendel Productions']"
133805,Carrie,"['Drama', 'Horror']","['Screen Gems', 'Metro-Goldwyn-Mayer (MGM)', 'Misher Films']"
262504,Allegiant,"['Adventure', 'Science Fiction']","['Summit Entertainment', 'Lionsgate', 'Mandeville Films', 'Red Wagon Entertainment']"
2105,American Pie,"['Comedy', 'Romance']","['Universal Pictures', 'Summit Entertainment', 'Newmarket Capital Group', 'Zide-Perry Productions']"
6068,Six Days Seven Nights,"['Action', 'Adventure', 'Comedy', 'Romance']","['Caravan Pictures', 'Roger Birnbaum Productions', 'Northern Lights Entertainment', 'Touchstone Pictures']"
207932,Inferno,['Thriller'],"['Columbia Pictures', 'Imagine Entertainment', 'Mid Atlantic Films', 'Sony Pictures Releasing', 'LStar Capital']"
141,Donnie Darko,"['Fantasy', 'Drama', 'Mystery']","['Pandora Cinema', 'Twentieth Century Fox Film Corporation', 'Flower Films', 'Adam Fields Productions']"
363676,Sully,"['Drama', 'History']","['Malpaso Productions', 'Warner Bros.', 'Kennedy/Marshall Company, The', 'FilmNation Entertainment', 'RatPac Entertainment', 'Flashlight Films']"
136797,Need for Speed,"['Action', 'Crime', 'Drama', 'Thriller']","['DreamWorks SKG', 'Reliance Entertainment', 'Bandito Brothers', 'Touchstone Pictures', 'Electronic Arts', 'Revolution Sun Studios']"
7220,The Punisher,"['Action', 'Crime', 'Drama']","['Lions Gate Films', 'VIP 3 Medienfonds', 'Valhalla Motion Pictures', 'Marvel Enterprises', 'VIP 2 Medienfonds']"
654,On the Waterfront,"['Crime', 'Drama']","['Columbia Pictures', 'Horizon Pictures']"
426,Vertigo,"['Mystery', 'Romance', 'Thriller']","['Paramount Pictures', 'Alfred J. Hitchcock Productions']"
792,Platoon,"['Drama', 'War', 'Action']","['Orion Pictures', 'Hemdale Film Corporation']"
194662,Birdman,"['Drama', 'Comedy']","['Worldview Entertainment', 'New Regency Pictures', 'TSG Entertainment', 'Le Grisbi Productions', 'M Productions']"
1535,Spy Game,"['Action', 'Crime', 'Thriller']","['Universal Pictures', 'Metropolitan Filmexport', 'Toho-Towa', 'Red Wagon Productions', 'Beacon Communications', 'Kalima Productions GmbH & Co. KG']"
1018,Mulholland Drive,"['Thriller', 'Drama', 'Mystery']","['Asymmetrical Productions', 'Les Films Alain Sarde', 'Babbo Inc.', 'The Picture Factory', 'Canal+']"
2503,The Bourne Ultimatum,"['Action', 'Drama', 'Mystery', 'Thriller']","['Universal Pictures', 'The Kennedy/Marshall Company', 'Ludlum Entertainment', 'Motion Picture BETA Produktionsgesellschaft', 'Bourne Again']"
73,American History X,['Drama'],"['New Line Cinema', 'The Turman-Morrissey Company', 'Savoy Pictures']"
703,Annie Hall,"['Comedy', 'Drama', 'Romance']",['United Artists']
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","['Adventure', 'Family', 'Fantasy']","['Walt Disney', 'Walden Media']"
1271,300,"['Action', 'Adventure', 'War']","['Virtual Studios', 'Legendary Pictures', 'Hollywood Gang Productions', 'Atmosphere Entertainment MM', 'Warner Bros.', 'Nimar Studios', 'Cruel and Unusual Films']"
260346,Taken 3,"['Thriller', 'Action']","['Twentieth Century Fox Film Corporation', 'M6 Films', 'Canal+', 'Grive Productions', 'EuropaCorp', 'Ciné+', 'M6', 'TSG Entertainment', 'Taken 3']"
5176,3:10 to Yuma,['Western'],"['Tree Line Films', 'Lionsgate', 'Relativity Media', 'Yuma']"
300671,13 Hours: The Secret Soldiers of Benghazi,"['Action', 'Drama', 'History', 'Thriller', 'War']","['Paramount Pictures', '3 Arts Entertainment', 'Bay Films', 'Latina Pictures', 'Dune Films']"
8271,Disturbia,"['Thriller', 'Drama', 'Mystery']","['Paramount Pictures', 'DreamWorks SKG', 'Cold Spring Pictures', 'Montecito Picture Company, The']"
