id,title,genres,production_companies
9502,Kung Fu Panda,"['Adventure', 'Animation', 'Family', 'Comedy']",['DreamWorks Animation']
16869,Inglourious Basterds,"['Drama', 'Action', 'Thriller', 'War']","['Universal Pictures', 'A Band Apart', 'The Weinstein Company', 'Zehnte Babelsberg', 'Visiona Romantica']"
9804,Waterworld,"['Adventure', 'Action']","['Universal Pictures', 'Gordon Company', 'Davis Entertainment', 'Licht/Mueller Film Corporation']"
8009,Highlander,"['Adventure', 'Action', 'Fantasy']","['Davis-Panzer Productions', 'Thorn EMI Screen Entertainment']"
9487,A Bug's Life,"['Adventure', 'Animation', 'Comedy', 'Family']","['Walt Disney Pictures', 'Pixar Animation Studios']"
10693,Peter Pan,"['Animation', 'Music', 'Family', 'Adventure', 'Fantasy']","['RKO Radio Pictures', 'Walt Disney Productions']"
241554,Run All Night,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']","['Vertigo Entertainment', 'Energy Entertainment', 'RatPac-Dune Entertainment']"
136799,Trolls,"['Adventure', 'Animation', 'Family']","['Twentieth Century Fox Film Corporation', 'DreamWorks Animation']"
1091,The Thing,"['Horror', 'Mystery', 'Science Fiction']","['Universal Pictures', 'Turman-Foster Company']"
381284,Hidden Figures,['Drama'],"['Fox 2000 Pictures', 'Chernin Entertainment', 'Levantine Films']"
429,"The Good, the Bad and the Ugly",['Western'],"['United Artists', 'Constantin Film Produktion', 'Produzioni Europee Associati (PEA)', 'Arturo González Producciones Cinematográficas S.A.']"
856,Who Framed Roger Rabbit,"['Fantasy', 'Animation', 'Comedy', 'Crime', 'Family']","['Amblin Entertainment', 'Silver Screen Partners III', 'Touchstone Pictures', 'Walt Disney Feature Animation']"
275601,Ricki and the Flash,"['Comedy', 'Drama', 'Music']","['Columbia TriStar', 'Clinica Estetico', 'LStar Capital']"
6114,Dracula,"['Romance', 'Horror']","['American Zoetrope', 'Columbia Pictures Corporation', 'Osiris Films']"
608,Men in Black II,"['Action', 'Adventure', 'Comedy', 'Science Fiction']","['Columbia Pictures', 'Amblin Entertainment', 'Columbia Pictures Corporation', 'Parkes+MacDonald Image Nation']"
1988,A Mighty Heart,"['Drama', 'Thriller']","['Plan B Entertainment', 'Revolution Films', 'Paramount Vantage']"
34544,The A-Team,"['Thriller', 'Action', 'Adventure', 'Comedy', 'Crime']","['Ingenious Film Partners', 'Twentieth Century Fox Film Corporation', 'Dune Entertainment', 'Scott Free Productions', 'Top Cow Productions', 'Stephen J. Cannell Productions', 'Big Screen Productions', 'Phoenix Film Partners']"
290098,The Handmaiden,"['Thriller', 'Drama', 'Romance']","['CJ Entertainment', 'Moho Film', 'Yong Film']"
9023,Spirit: Stallion of the Cimarron,"['Western', 'Animation', 'Adventure', 'Comedy', 'Family']","['DreamWorks SKG', 'DreamWorks Animation']"
288,High Noon,['Western'],"['United Artists', 'Stanley Kramer Productions']"
14161,2012,"['Action', 'Adventure', 'Science Fiction']","['Columbia Pictures', 'Centropolis Entertainment', 'The Mark Gordon Company', 'Farewell Productions']"
1593,Night at the Museum,"['Action', 'Adventure', 'Comedy', 'Family', 'Fantasy']","['Ingenious Film Partners', 'Twentieth Century Fox Film Corporation', '1492 Pictures', '21 Laps Entertainment']"
950,Ice Age: The Meltdown,"['Animation', 'Family', 'Comedy', 'Adventure']","['Blue Sky Studios', 'Twentieth Century Fox Animation']"
794,The Omen,"['Horror', 'Thriller']","['Twentieth Century Fox Film Corporation', 'Mace Neufeld Productions']"
562,Die Hard,"['Action', 'Thriller']","['Twentieth Century Fox Film Corporation', 'Gordon Company', 'Silver Pictures']"
14836,Coraline,"['Animation', 'Family']","['Focus Features', 'Laika Entertainment']"
22803,Law Abiding Citizen,"['Drama', 'Crime', 'Thriller']","['Film Department, The', 'Evil Twins', 'Warp Films']"
402,Basic Instinct,"['Thriller', 'Mystery']","['TriStar Pictures', 'Canal+', 'Carolco Pictures']"
41439,Saw: The Final Chapter,"['Horror', 'Crime']","['Lionsgate', 'Twisted Pictures', 'Serendipity Productions']"
70981,Prometheus,"['Science Fiction', 'Adventure', 'Mystery']","['Twentieth Century Fox Film Corporation', 'Dune Entertainment', 'Scott Free Productions', 'Brandywine Productions']"
10198,The Princess and the Frog,"['Romance', 'Family', 'Animation', 'Music']","['Walt Disney Pictures', 'Walt Disney Animation Studios']"
17692,Jaws 3-D,"['Thriller', 'Horror']","['Universal Pictures', 'Alan Landsburg Productions', 'MCA  Theatricals']"
97,Tron,"['Science Fiction', 'Action', 'Adventure']","['Walt Disney Pictures', 'Lisberger/Kushner']"
13183,Watchmen,"['Action', 'Mystery', 'Science Fiction']","['Paramount Pictures', 'DC Comics', 'Lawrence Gordon Productions', 'Legendary Pictures', 'Warner Bros.', 'Cruel and Unusual Films']"
342473,Ballerina,"['Animation', 'Family', 'Adventure', 'Comedy']","['Caramel Films', 'Quad Productions', 'Main Journey']"
2055,Open Range,['Western'],"['Tig Productions', 'Touchstone Pictures', 'Beacon Pictures', 'Cobalt Media Group']"
334533,Captain Fantastic,"['Adventure', 'Comedy', 'Drama', 'Romance']","['Electric City Entertainment', 'ShivHans Pictures', 'Post Haste Digital']"
534,Terminator Salvation,"['Action', 'Science Fiction', 'Thriller']","['Columbia Pictures', 'The Halcyon Company', 'Wonderland Sound and Vision', 'Warner Bros.']"
389,12 Angry Men,['Drama'],"['United Artists', 'Orion-Nova Productions']"
12092,Alice in Wonderland,"['Animation', 'Adventure', 'Family', 'Fantasy']","['RKO Radio Pictures', 'Walt Disney Productions']"
168672,American Hustle,"['Drama', 'Crime']","['Columbia Pictures', 'Atlas Entertainment', 'Annapurna Pictures']"
308266,War Dogs,"['Comedy', 'Crime', 'Drama']","['The Mark Gordon Company', 'Green Hat Films', 'Warner Bros.', 'Joint Effort']"
64635,Total Recall,"['Action', 'Science Fiction', 'Adventure', 'Thriller']","['Columbia Pictures', 'Original Film', 'Rekall Productions', 'Prime Focus', 'Total Recall']"
137106,The Lego Movie,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']","['Village Roadshow Pictures', 'DC Comics', 'Vertigo Entertainment', 'Lin Pictures', 'Warner Bros. Animation', 'LEGO', 'Warner Bros.', 'Animal Logic', 'Warner Animation Group', 'RatPac-Dune Entertainment']"
184,Jackie Brown,"['Comedy', 'Crime', 'Romance']",['Miramax Films']
2978,Ghostbusters II,"['Comedy', 'Fantasy']",['Columbia Pictures Corporation']
345938,The Shack,"['Drama', 'Fantasy']","['Summit Entertainment', 'Netter Productions']"
106646,The Wolf of Wall Street,"['Crime', 'Drama', 'Comedy']","['Paramount Pictures', 'Appian Way', 'EMJAG Productions', 'Red Granite Pictures', 'Sikelia Productions']"
19913,(500) Days of Summer,"['Comedy', 'Drama', 'Romance']","['Fox Searchlight Pictures', 'Watermark', 'Dune Entertainment III']"
82675,Taken 2,"['Action', 'Crime', 'Thriller']","['Twentieth Century Fox Film Corporation', 'M6 Films', 'Canal+', 'Grive Productions', 'EuropaCorp', 'Ciné+']"
8681,Taken,"['Action', 'Thriller']","['Twentieth Century Fox Film Corporation', 'M6 Films', 'Canal+', 'TPS Star', 'Grive Productions', 'EuropaCorp', 'M6', 'Wintergreen Productions', 'All Pictures Media']"
812,Aladdin,"['Animation', 'Family', 'Comedy', 'Adventure', 'Fantasy', 'Romance']",['Walt Disney Pictures']
147441,Exodus: Gods and Kings,"['Adventure', 'Drama', 'Action']","['Scott Free Productions', 'Chernin Entertainment', 'Babieka', 'Volcano Films']"
