id,title,genres,production_companies
211672,Minions,"['Family', 'Animation', 'Adventure', 'Comedy']","['Universal Pictures', 'Illumination Entertainment']"
297762,Wonder Woman,"['Action', 'Adventure', 'Fantasy']","['Dune Entertainment', 'Atlas Entertainment', 'Warner Bros.', 'DC Entertainment', 'Cruel & Unusual Films', 'TENCENT PICTURES', 'Wanda Pictures']"
321612,Beauty and the Beast,"['Family', 'Fantasy', 'Romance']","['Walt Disney Pictures', 'Mandeville Films']"
339403,Baby Driver,"['Action', 'Crime']","['Big Talk Productions', 'TriStar Pictures', 'Media Rights Capital', 'Working Title Films', 'Double Negative']"
177572,Big Hero 6,"['Adventure', 'Family', 'Animation', 'Action', 'Comedy']","['Walt Disney Pictures', 'Walt Disney Animation Studios']"
293660,Deadpool,"['Action', 'Adventure', 'Comedy']","['Twentieth Century Fox Film Corporation', 'Marvel Entertainment', ""The Donners' Company"", 'TSG Entertainment', 'Kinberg Genre']"
283995,Guardians of the Galaxy Vol. 2,"['Action', 'Adventure', 'Comedy', 'Science Fiction']","['Walt Disney Pictures', 'Marvel Studios']"
19995,Avatar,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","['Ingenious Film Partners', 'Twentieth Century Fox Film Corporation', 'Dune Entertainment', 'Lightstorm Entertainment']"
245891,John Wick,"['Action', 'Thriller']","['Summit Entertainment', 'Warner Bros.', '87Eleven', 'DefyNite Films', 'MJW Films']"
210577,Gone Girl,"['Mystery', 'Thriller', 'Drama']","['Twentieth Century Fox Film Corporation', 'Regency Enterprises', 'New Regency Pictures', 'Pacific Standard', 'TSG Entertainment', 'Artemple - Hollywood']"
131631,The Hunger Games: Mockingjay - Part 1,"['Science Fiction', 'Adventure', 'Thriller']","['Lionsgate', 'Color Force']"
281338,War for the Planet of the Apes,"['Drama', 'Science Fiction', 'War']",['Chernin Entertainment']
271110,Captain America: Civil War,"['Adventure', 'Action', 'Science Fiction']","['Studio Babelsberg', 'Marvel Studios', 'Walt Disney Studios Motion Pictures', 'Vita-Ray Dutch Productions (III)', 'Deluxe Digital Studios']"
680,Pulp Fiction,"['Thriller', 'Crime']","['Miramax Films', 'A Band Apart', 'Jersey Films']"
166426,Pirates of the Caribbean: Dead Men Tell No Tales,"['Adventure', 'Action', 'Fantasy', 'Comedy']","['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Infinitum Nihil', 'Moving Picture Company (MPC)']"
155,The Dark Knight,"['Drama', 'Action', 'Crime', 'Thriller']","['DC Comics', 'Legendary Pictures', 'Warner Bros.', 'DC Entertainment', 'Syncopy']"
78,Blade Runner,"['Science Fiction', 'Drama', 'Thriller']","['Shaw Brothers', 'Warner Bros.', 'The Ladd Company']"
24428,The Avengers,"['Science Fiction', 'Action', 'Adventure']","['Paramount Pictures', 'Marvel Studios']"
268531,Captain Underpants: The First Epic Movie,"['Action', 'Animation', 'Comedy', 'Family']","['DreamWorks Animation', 'Scholastic Entertainment']"
339988,The Circle,"['Drama', 'Thriller', 'Science Fiction']","['Likely Story', 'Playtone', 'Image Nation']"
198663,The Maze Runner,"['Action', 'Mystery', 'Science Fiction', 'Thriller']","['Ingenious Media', 'Twentieth Century Fox Film Corporation', 'Gotham Group', 'Dayday Films', 'Temple Hill Entertainment', 'TSG Entertainment']"
119450,Dawn of the Planet of the Apes,"['Science Fiction', 'Action', 'Drama', 'Thriller']","['Ingenious Media', 'Chernin Entertainment', 'TSG Entertainment']"
126889,Alien: Covenant,"['Horror', 'Science Fiction', 'Thriller']","['Twentieth Century Fox Film Corporation', 'Scott Free Productions', 'Brandywine Productions', 'TSG Entertainment']"
315837,Ghost in the Shell,"['Action', 'Science Fiction', 'Thriller']","['Paramount Pictures', 'DreamWorks SKG', 'Shanghai Film Group', 'Reliance Entertainment', 'Arad Productions', 'Grosvenor Park Productions', 'Steven Paul Production', 'Huahua Media', 'Seaside Entertainment', 'Amblin Partners', 'Weying Galaxy Entertainment']"
244786,Whiplash,['Drama'],"['Bold Films', 'Blumhouse Productions', 'Right of Way Films']"
550,Fight Club,['Drama'],"['Twentieth Century Fox Film Corporation', 'Regency Enterprises', 'Fox 2000 Pictures', 'Taurus Film', 'Linson Films', 'Atman Entertainment', 'Knickerbocker Films']"
263115,Logan,"['Action', 'Drama', 'Science Fiction']","['Twentieth Century Fox Film Corporation', ""Donners' Company"", 'Marvel Entertainment', 'TSG Entertainment']"
118340,Guardians of the Galaxy,"['Action', 'Science Fiction', 'Adventure']","['Marvel Studios', 'Moving Picture Company (MPC)', 'Bulletproof Cupid', 'Revolution Sun Studios']"
403119,47 Meters Down,"['Drama', 'Thriller', 'Horror', 'Adventure']","['Dimension Films', 'Tea Shop & Film Company', 'The Fyzz Facility', 'Flexibon Films']"
278,The Shawshank Redemption,"['Drama', 'Crime']","['Castle Rock Entertainment', 'Warner Bros.']"
353491,The Dark Tower,"['Action', 'Western', 'Science Fiction', 'Fantasy', 'Horror']","['Imagine Entertainment', 'Weed Road Pictures', 'Media Rights Capital', 'Sony Pictures Entertainment']"
324552,John Wick: Chapter 2,"['Thriller', 'Action', 'Crime']","['Thunder Road Pictures', 'LionsGate', '87Eleven']"
337339,The Fate of the Furious,"['Action', 'Crime', 'Thriller']","['Universal Pictures', 'Original Film', 'One Race Films']"
13,Forrest Gump,"['Comedy', 'Drama', 'Romance']",['Paramount Pictures']
22,Pirates of the Caribbean: The Curse of the Black Pearl,"['Adventure', 'Fantasy', 'Action']","['Walt Disney Pictures', 'Jerry Bruckheimer Films']"
258489,The Legend of Tarzan,"['Action', 'Adventure']","['Village Roadshow Pictures', 'Dark Horse Entertainment', 'Jerry Weintraub Productions', 'RatPac-Dune Entertainment', 'Beagle Pug Films', 'Riche Productions', 'Village Roadshow Films North America']"
274857,King Arthur: Legend of the Sword,"['Action', 'Drama', 'Fantasy']","['Village Roadshow Pictures', 'Weed Road Pictures', 'Warner Bros.', 'Wigram Productions', 'Safehouse Pictures']"
284052,Doctor Strange,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","['Walt Disney Pictures', 'Marvel Studios']"
297761,Suicide Squad,"['Action', 'Adventure', 'Crime', 'Fantasy', 'Science Fiction']","['DC Comics', 'Dune Entertainment', 'Atlas Entertainment', 'Warner Bros.', 'DC Entertainment']"
11,Star Wars,"['Adventure', 'Action', 'Science Fiction']","['Lucasfilm', 'Twentieth Century Fox Film Corporation']"
214756,Ted 2,['Comedy'],"['Universal Pictures', 'Fuzzy Door Productions', 'Bluegrass Films', 'Smart Entertainment', 'Media Rights Capital (MRC)']"
424,Schindler's List,"['Drama', 'History', 'War']","['Universal Pictures', 'Amblin Entertainment']"
61791,Rise of the Planet of the Apes,"['Thriller', 'Action', 'Drama', 'Science Fiction']","['Ingenious Film Partners', 'Ingenious Media', 'Twentieth Century Fox Film Corporation', 'Dune Entertainment', 'Dune Entertainment III', 'Chernin Entertainment', 'Big Screen Productions']"
294254,Maze Runner: The Scorch Trials,['Action'],"['Gotham Group', 'Temple Hill Entertainment', 'TSG Entertainment']"
238,The Godfather,"['Drama', 'Crime']","['Paramount Pictures', 'Alfran Productions']"
259316,Fantastic Beasts and Where to Find Them,"['Adventure', 'Family', 'Fantasy']","['Heyday films', 'Warner Bros.']"
129,Spirited Away,"['Fantasy', 'Adventure', 'Animation', 'Family']",['Studio Ghibli']
395834,Wind River,"['Action', 'Crime', 'Mystery', 'Thriller']","['Thunder Road Pictures', 'Star Thrower Entertainment', 'Acacia Filmed Entertainment']"
291805,Now You See Me 2,"['Action', 'Adventure', 'Comedy', 'Crime', 'Mystery', 'Thriller']","['Summit Entertainment', 'Lionsgate', 'K/O Paper Products', 'TIK Films']"
637,Life Is Beautiful,"['Comedy', 'Drama']","['Miramax Films', 'Melampo Cinematografica']"
335988,Transformers: The Last Knight,"['Action', 'Science Fiction', 'Thriller', 'Adventure']","['Paramount Pictures', 'Di Bonaventura Pictures', 'Angry Films', 'Hasbro Studios']"
397837,Before I Fall,"['Mystery', 'Drama', 'Thriller']","['Jon Shestack Productions', 'Awesomeness Films']"
671,Harry Potter and the Philosopher's Stone,"['Adventure', 'Fantasy', 'Family']","['1492 Pictures', 'Warner Bros.', 'Heyday Films']"
99861,Avengers: Age of Ultron,"['Action', 'Adventure', 'Science Fiction']","['Marvel Studios', 'Prime Focus', 'Revolution Sun Studios']"
419430,Get Out,"['Mystery', 'Thriller', 'Horror']","['Blumhouse Productions', 'QC Entertainment', 'Monkeypaw Productions']"
539,Psycho,"['Drama', 'Horror', 'Thriller']","['Paramount Pictures', 'Universal Pictures', 'Shamley Productions']"
228150,Fury,"['War', 'Drama', 'Action']","['Columbia Pictures', 'QED International', 'Crave Films', 'LStar Capital', 'Huayi Brothers Media', 'Le Grisbi Productions']"
324852,Despicable Me 3,"['Action', 'Animation', 'Adventure', 'Family', 'Comedy']",['Illumination Entertainment']
240,The Godfather: Part II,"['Drama', 'Crime']","['Paramount Pictures', 'The Coppola Company']"
330459,Rogue One: A Star Wars Story,"['Action', 'Adventure', 'Science Fiction']","['Lucasfilm', 'Walt Disney Pictures', 'Allison Shearmur Productions', 'Black Hangar Studios', 'Stereo D']"
240832,Lucy,"['Action', 'Science Fiction']","['Universal Pictures', 'TF1 Films Production', 'Canal+', 'EuropaCorp', 'Ciné+']"
395992,Life,"['Horror', 'Science Fiction', 'Thriller']","['Columbia Pictures', 'Skydance Productions', 'Sony Pictures Entertainment (SPE)', 'Nvizage']"
283366,Miss Peregrine's Home for Peculiar Children,"['Drama', 'Fantasy', 'Adventure']","['Ingenious Media', 'Twentieth Century Fox Film Corporation', 'Chernin Entertainment', 'Tim Burton Productions', 'Big Screen Productions', 'Scope Pictures', 'TSG Entertainment', 'St. Petersburg Clearwater Film Commission']"
399019,The Beguiled,"['Drama', 'Western']","['American Zoetrope', 'Focus Features']"
339846,Baywatch,"['Action', 'Comedy']","['Paramount Pictures', 'Montecito Picture Company, The', 'Flynn Picture Company', 'Fremantle Productions', 'Seven Bucks Productions', 'Skydance Media', 'Uncharted']"
510,One Flew Over the Cuckoo's Nest,['Drama'],"['United Artists', 'Fantasy Films', 'Warner Bros.']"
76338,Thor: The Dark World,"['Action', 'Adventure', 'Fantasy']",['Marvel Studios']
19404,Dilwale Dulhania Le Jayenge,"['Comedy', 'Drama', 'Romance']",['Yash Raj Films']
296096,Me Before You,"['Drama', 'Romance']","['New Line Cinema', 'Sunswept Entertainment', 'Metro-Goldwyn-Mayer (MGM)']"
296096,Me Before You,"['Drama', 'Romance']","['New Line Cinema', 'Sunswept Entertainment', 'Metro-Goldwyn-Mayer (MGM)']"
15206,The Mother of Tears,['Horror'],"['Myriad Pictures', 'Opera Film Produzione', 'Medusa Film', 'Sky Cinema', 'Film Commission Torino-Piemonte']"
24021,The Twilight Saga: Eclipse,"['Adventure', 'Fantasy', 'Drama', 'Romance']","['Summit Entertainment', 'Maverick Films', 'Imprint Entertainment', 'Sunswept Entertainment', 'Temple Hill Entertainment']"
68726,Pacific Rim,"['Action', 'Science Fiction', 'Adventure']","['Legendary Pictures', 'Warner Bros.', 'Disney Double Dare You (DDY)', 'Indochina Productions']"
282035,The Mummy,"['Thriller', 'Action', 'Adventure']","['Universal Pictures', 'Sean Daniel Company', 'Secret Hideout']"
378236,The Emoji Movie,"['Comedy', 'Family', 'Animation']","['Columbia Pictures', 'Sony Pictures Animation']"
312221,Creed,['Drama'],"['New Line Cinema', 'Warner Bros.', 'Metro-Goldwyn-Mayer (MGM)', 'Chartoff Winkler Productions']"
603,The Matrix,"['Action', 'Science Fiction']","['Village Roadshow Pictures', 'Groucho II Film Partnership', 'Silver Pictures', 'Warner Bros.']"
216015,Fifty Shades of Grey,"['Drama', 'Romance', 'Thriller']","['Focus Features', 'Trigger Street Productions', 'Michael De Luca Productions']"
135397,Jurassic World,"['Action', 'Adventure', 'Science Fiction', 'Thriller']","['Universal Studios', 'Amblin Entertainment', 'Legendary Pictures', 'Fuji Television Network', 'Dentsu']"
157336,Interstellar,"['Adventure', 'Drama', 'Science Fiction']","['Paramount Pictures', 'Legendary Pictures', 'Warner Bros.', 'Syncopy', 'Lynda Obst Productions']"
120,The Lord of the Rings: The Fellowship of the Ring,"['Adventure', 'Fantasy', 'Action']","['WingNut Films', 'New Line Cinema', 'The Saul Zaentz Company']"
137113,Edge of Tomorrow,"['Action', 'Science Fiction']","['Village Roadshow Pictures', 'Warner Bros.', 'Viz Media', 'Province of British Columbia Production Services Tax Credit', '3 Arts Entertainment', 'RatPac-Dune Entertainment']"
122917,The Hobbit: The Battle of the Five Armies,"['Action', 'Adventure', 'Fantasy']","['WingNut Films', 'New Line Cinema', 'Warner Bros. Pictures', '3Foot7', 'Metro-Goldwyn-Mayer (MGM)']"
140607,Star Wars: The Force Awakens,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']","['Lucasfilm', 'Truenorth Productions', 'Bad Robot']"
205596,The Imitation Game,"['History', 'Drama', 'Thriller', 'War']","['Black Bear Pictures', 'Bristol Automotive']"
209112,Batman v Superman: Dawn of Justice,"['Action', 'Adventure', 'Fantasy']","['DC Comics', 'Atlas Entertainment', 'Warner Bros.', 'DC Entertainment', 'Cruel & Unusual Films', 'RatPac-Dune Entertainment']"
285,Pirates of the Caribbean: At World's End,"['Adventure', 'Fantasy', 'Action']","['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']"
195590,Collide,"['Thriller', 'Action']","['Silver Pictures', 'Automatik Entertainment', 'DMG Entertainment', 'Hands-on Producers', '42']"
8966,Twilight,"['Adventure', 'Fantasy', 'Drama', 'Romance']","['Summit Entertainment', 'Maverick Films', 'Imprint Entertainment', 'Goldcrest Pictures', 'Temple Hill Entertainment', 'Twilight Productions']"
