title,release_year,budget,revenue,profit,production_companies
Independence Day,1996,75000000,816969268.0,741969268.0,"['Twentieth Century Fox Film Corporation', 'Centropolis Entertainment']"
Star Wars: Episode III - Revenge of the Sith,2005,113000000,850000000.0,737000000.0,['Lucasfilm']
Deadpool,2016,58000000,783112979.0,725112979.0,"['Twentieth Century Fox Film Corporation', 'Marvel Entertainment', ""The Donners' Company"", 'TSG Entertainment', 'Kinberg Genre']"
The Hunger Games: Catching Fire,2013,130000000,847423452.0,717423452.0,"['Lionsgate', 'Color Force']"
The Twilight Saga: Breaking Dawn - Part 2,2012,120000000,829000000.0,709000000.0,"['Summit Entertainment', 'Sunswept Entertainment', 'Temple Hill Entertainment']"
The Hobbit: The Desolation of Smaug,2013,250000000,958400000.0,708400000.0,"['WingNut Films', 'New Line Cinema', 'Warner Bros. Pictures', 'Metro-Goldwyn-Mayer (MGM)']"
The Hobbit: The Battle of the Five Armies,2014,250000000,956019788.0,706019788.0,"['WingNut Films', 'New Line Cinema', 'Warner Bros. Pictures', '3Foot7', 'Metro-Goldwyn-Mayer (MGM)']"
Harry Potter and the Deathly Hallows: Part 1,2010,250000000,954305868.0,704305868.0,"['Warner Bros.', 'Heyday Films']"
Transformers: Revenge of the Fallen,2009,150000000,836297228.0,686297228.0,"['Paramount Pictures', 'DreamWorks SKG', 'Amblin Entertainment', 'Di Bonaventura Pictures', 'Platinum Dunes', 'Hasbro Studios', 'Revolution Sun Studios']"
Harry Potter and the Half-Blood Prince,2009,250000000,933959197.0,683959197.0,"['Warner Bros.', 'Heyday Films']"
Spider-Man,2002,139000000,821708551.0,682708551.0,"['Columbia Pictures', 'Marvel Enterprises']"
Inside Out,2015,175000000,857611174.0,682611174.0,"['Walt Disney Pictures', 'Pixar Animation Studios']"
Wonder Woman,2017,149000000,820580447.0,671580447.0,"['Dune Entertainment', 'Atlas Entertainment', 'Warner Bros.', 'DC Entertainment', 'Cruel & Unusual Films', 'TENCENT PICTURES', 'Wanda Pictures']"
